business_name,category,location,website,phone,contact_name,score,pain_signals,pitch_angle,source
Zandi Chiropractic,Health/Chiro,Boulder CO,zandichiro.com,,,60,"5-star rated 100+ reviews, review-dependent growth model",automated review requests + patient reminders + new patient onboarding,web search
MŪV Chiropractic,Health/Chiro,Boulder County,muvboulder.com,,,65,"recent merger of two practices = systems integration pain, comprehensive treatment",practice merger workflow integration + patient communication + scheduling,web search
Network Wellness Center,Health/Chiro,Boulder CO,boulderchiropractor.com,,,55,"top rated, family practice",patient scheduling + review automation,web search
Dean Callan & Company,Real Estate,Boulder CO,deancallan.com,,,60,"boutique family-owned commercial brokerage since 1963, likely legacy processes",listing management automation + client communication + market report generation,web search
The Bernardi Group,Real Estate,Boulder County,thebernardigroup.com,,,55,"150-200 homes/year, likely already has some systems at that volume",lead nurturing + market report automation + client follow-up sequences,web search
Patrick Dolan RE/MAX,Real Estate,Boulder CO,,,,,55,"independent agent under RE/MAX, yelp top-rated",lead follow-up + listing alerts + client communication,yelp
Jill Grano milehimodern,Real Estate,Boulder CO,,,,,50,"luxury market agent",social media automation + client nurturing,yelp
D & D Auto Repair,Auto/Mechanic,Longmont CO (downtown),,,,,60,"downtown longmont, local shop",appointment scheduling + service reminders + review automation,longmont directory
Active Family Chiropractic,Health/Chiro,Longmont CO (downtown),,,600 5th Ave,,60,"family practice downtown longmont",patient scheduling + intake automation,longmont directory
Dental Health of Longmont,Dental,Longmont CO,,,312 Main St,,65,"downtown dental practice",patient reminders + intake forms + review requests + recall automation,longmont directory
Andrew Ranucci DDS,Dental,Longmont CO,,,515 Main St,,65,"solo dental practice downtown",patient communication + scheduling + intake automation,longmont directory
Dan Grant Accounting,Accounting,Longmont CO,,,401 Main St,,65,"solo accountant downtown longmont, probably drowning in manual work",full automation suite — intake + document collection + scheduling,longmont directory
A2Z Complete Car Care,Auto,Longmont CO,,,220 Coffman St,,55,"local car care downtown",appointment scheduling + service reminders,longmont directory
ADAPT Training & Pilates,Fitness,Longmont CO,,,525 3rd Ave,,60,"training + pilates studio",class scheduling + client management + review automation,longmont directory
Crackpots Pottery Studio,Creative/Retail,Longmont CO,,,505 Main St,,50,"pottery studio, unique business",booking automation + social media,longmont directory
Black Cat Farm Table Bistro,Restaurant,Boulder CO,blackcatboulder.com,,,55,"farm-to-table since 2006, owner Eric Skokan + wife Jill",reservation management + supplier coordination + social media,web search
Il Pastaio,Restaurant,Boulder CO,,,,,50,"locally owned, yelp top-rated",reservation + review management,yelp
Jax Fish House,Restaurant,Boulder CO,jaxfishhouse.com,,,55,"independent, locally owned, added 2.9% surcharge = margin pressure",operational automation + inventory + reservation optimization,web search
Blackbelly Market,Restaurant,Boulder CO,blackbelly.com,,,55,"chef Hosea Rosenberg, award-winning, boulder essential",inventory + supplier automation + social media + reservation management,web search
